0,0.907655,0.436991
1,0.915696,0.446233
2,0.926250,0.459557
3,0.936037,0.473454
4,0.945018,0.487885
5,0.953163,0.502804
6,0.960446,0.518163
7,0.966843,0.533910
8,0.968605,0.538321
9,0.968605,0.538321
10,0.968605,0.538321
11,0.968605,0.538321
12,0.968605,0.538321
13,0.968605,0.538321
14,0.957101,0.534112
15,0.941661,0.527012
16,0.926673,0.518996
17,0.912165,0.510139
18,0.898185,0.500471
19,0.884777,0.490024
20,0.871986,0.478831
21,0.859852,0.466928
22,0.848414,0.454354
23,0.837711,0.441149
24,0.827777,0.427357
25,0.818643,0.413022
26,0.816113,0.409002
27,0.816113,0.409002
28,0.818811,0.397053
29,0.823871,0.380830
30,0.829898,0.364937
31,0.836820,0.349412
32,0.844614,0.334307
33,0.853255,0.319669
34,0.862714,0.305547
35,0.872962,0.291986
36,0.883964,0.279030
37,0.895686,0.266721
38,0.908089,0.255099
39,0.921134,0.244201
40,0.934777,0.234063
41,0.948975,0.224718
42,0.952957,0.222129
43,0.965026,0.220029
44,0.981948,0.218468
45,0.998937,0.217927
46,1.015929,0.218353
47,1.020677,0.218500
48,1.020677,0.218500
49,1.020677,0.218500
50,1.025185,0.229890
51,1.029299,0.243110
52,1.033962,0.245947
53,1.038649,0.249535
54,1.041565,0.253338
55,1.044142,0.257339
56,1.046467,0.261530
57,1.048539,0.265898
58,1.050345,0.270427
59,1.051876,0.275102
60,1.053120,0.279906
61,1.054067,0.284820
62,1.054710,0.289826
63,1.055040,0.294906
64,1.055052,0.300039
65,1.054742,0.305206
66,1.054104,0.310386
67,1.053138,0.315559
68,1.051841,0.320704
69,1.050215,0.325800
70,1.048260,0.330825
71,1.045981,0.335759
72,1.043380,0.340581
73,1.040464,0.345271
74,1.037240,0.349807
75,1.033715,0.354170
76,1.029900,0.358340
77,1.025805,0.362298
78,1.021443,0.366026
79,1.016825,0.369507
80,1.011968,0.372722
81,1.006885,0.375657
82,1.001595,0.378295
83,0.996113,0.380624
84,0.990459,0.382629
85,0.984652,0.384298
86,0.978713,0.385621
87,0.972661,0.386588
88,0.966519,0.387191
89,0.960308,0.387423
