argos config file,classes,trials,mean final dispersion
individual_0_gen_1.dat_experiments-1_class-5_in_clusters.argos_robot_poses.json,1,10,91
individual_0_gen_1.dat_experiments-1_class-5_in_lines.argos_robot_poses.json,1,10,88
individual_0_gen_1.dat_experiments-1_class-5_in_lines.argos_robot_poses.json,1,10,88
individual_0_gen_1.dat_experiments-1_class-5_in_lines.argos_robot_poses.json,1,10,86
individual_0_gen_1.dat_experiments-1_class-5_in_lines.argos_robot_poses.json,1,10,89
individual_0_gen_1.dat_experiments-1_class-5_in_lines.argos_robot_poses.json,1,10,88
individual_0_gen_1.dat_experiments-1_class-5_in_lines.argos_robot_poses.json,1,10,87
individual_0_gen_1.dat_experiments-1_class-5_in_lines.argos_robot_poses.json,1,10,97
individual_0_gen_1.dat_experiments-1_class-5_in_lines.argos_robot_poses.json,1,10,86
individual_0_gen_1.dat_experiments-1_class-5_in_lines.argos_robot_poses.json,1,10,88
individual_0_gen_1.dat_experiments-1_class-5_in_lines.argos_robot_poses.json,1,10,90
