- - - - - - - experiments/1_class/10_in_clusters.argos experiments/1_class/10_in_lines.argos experiments/1_class/3_in_clusters.argos experiments/1_class/3_in_lines.argos experiments/1_class/4_in_clusters.argos experiments/1_class/4_in_lines.argos experiments/1_class/5_in_clusters.argos experiments/1_class/5_in_lines.argos experiments/2_class/10_in_clusters.argos experiments/2_class/10_in_lines.argos experiments/2_class/3_in_clusters.argos experiments/2_class/3_in_lines.argos experiments/2_class/4_in_clusters.argos experiments/2_class/4_in_lines.argos experiments/2_class/5_in_clusters.argos experiments/2_class/5_in_lines.argos experiments/4_class/10_in_clusters.argos experiments/4_class/10_in_lines.argos experiments/4_class/12_uniform_0.05_density.argos experiments/4_class/12_uniform_0.10_density.argos experiments/4_class/12_uniform_0.20_density.argos experiments/4_class/16_uniform_0.05_density.argos experiments/4_class/16_uniform_0.10_density.argos experiments/4_class/16_uniform_0.20_density.argos experiments/4_class/20_uniform_0.05_density.argos experiments/4_class/20_uniform_0.10_density.argos experiments/4_class/20_uniform_0.20_density.argos experiments/4_class/3_in_clusters.argos experiments/4_class/3_in_lines.argos experiments/4_class/40_uniform_0.05_density.argos experiments/4_class/40_uniform_0.10_density.argos experiments/4_class/40_uniform_0.20_density.argos experiments/4_class/4_in_clusters.argos experiments/4_class/4_in_lines.argos experiments/4_class/5_in_clusters.argos experiments/4_class/5_in_lines.argos 
25000 -0.6667 0.0000 -0.3333 1.0000 -0.6667 0.0000 -1347.700 -1059.100 -1610.500 -2097.835 -1488.000 -2468.750 -1533.000 -1672.400 -1347.700 -1059.100 -1610.500 -2097.835 -1488.000 -2468.750 -1533.000 -1672.400 -1347.700 -1059.100 -2627.665 -2804.835 -3094.335 -2287.125 -2484.250 -2809.250 -2164.700 -2724.900 -2974.500 -1610.500 -2097.835 -1863.150 -1633.200 -1929.300 -1488.000 -2468.750 -1533.000 -1672.400 
25001 -0.6667 0.0000 -0.3333 1.0000 -0.6667 0.3333 -1418.300 -1008.200 -1726.165 -2350.665 -1598.625 -1621.625 -1703.500 -1774.800 -1418.300 -1008.200 -1726.165 -2350.665 -1598.625 -1621.625 -1703.500 -1774.800 -1418.300 -1008.200 -2271.335 -2901.665 -2820.000 -2679.750 -2655.875 -2669.625 -2136.600 -2899.100 -2751.600 -1726.165 -2350.665 -1930.800 -1657.000 -1961.400 -1598.625 -1621.625 -1703.500 -1774.800 
25002 -0.6667 0.0000 -0.3333 1.0000 -0.6667 0.6667 -1173.150 -989.250 -2084.665 -2167.500 -1329.125 -1952.000 -2006.000 -1738.500 -1173.150 -989.250 -2084.665 -2167.500 -1329.125 -1952.000 -2006.000 -1738.500 -1173.150 -989.250 -2761.500 -3011.835 -2853.000 -2391.375 -2588.375 -2714.250 -1950.600 -2431.100 -2800.100 -2084.665 -2167.500 -1475.100 -1485.450 -1651.300 -1329.125 -1952.000 -2006.000 -1738.500 
25003 -0.6667 0.0000 -0.3333 1.0000 -0.6667 1.0000 -1063.000 -875.000 -1775.000 -1696.165 -1415.125 -1863.000 -2023.400 -1418.900 -1063.000 -875.000 -1775.000 -1696.165 -1415.125 -1863.000 -2023.400 -1418.900 -1063.000 -875.000 -2457.835 -3043.665 -2815.165 -2446.500 -2759.250 -2473.000 -1851.500 -2398.000 -2657.100 -1775.000 -1696.165 -1325.950 -1101.850 -1540.450 -1415.125 -1863.000 -2023.400 -1418.900 
25004 -0.6667 0.0000 -0.3333 1.0000 -0.3333 -1.0000 -523.350 -487.000 -1418.835 -1327.665 -993.250 -1217.375 -966.700 -932.000 -523.350 -487.000 -1418.835 -1327.665 -993.250 -1217.375 -966.700 -932.000 -523.350 -487.000 -1582.665 -1885.165 -1489.665 -1474.125 -1987.250 -1369.125 -920.800 -848.000 -828.300 -1418.835 -1327.665 -578.350 -522.100 -624.000 -993.250 -1217.375 -966.700 -932.000 
25005 -0.6667 0.0000 -0.3333 1.0000 -0.3333 -0.6667 -594.900 -551.800 -1335.165 -1366.335 -1188.000 -1369.500 -1012.800 -1021.800 -594.900 -551.800 -1335.165 -1366.335 -1188.000 -1369.500 -1012.800 -1021.800 -594.900 -551.800 -1792.000 -1632.835 -1878.665 -1143.750 -1454.125 -1123.750 -791.400 -757.300 -1629.400 -1335.165 -1366.335 -618.500 -446.650 -525.200 -1188.000 -1369.500 -1012.800 -1021.800 
25006 -0.6667 0.0000 -0.3333 1.0000 -0.3333 -0.3333 -610.650 -578.050 -1200.000 -1280.000 -945.500 -1265.375 -912.100 -766.800 -610.650 -578.050 -1200.000 -1280.000 -945.500 -1265.375 -912.100 -766.800 -610.650 -578.050 -1953.000 -2316.500 -1540.000 -1474.750 -1224.750 -1267.875 -1551.300 -1098.500 -1108.500 -1200.000 -1280.000 -626.950 -610.650 -599.900 -945.500 -1265.375 -912.100 -766.800 
25007 -0.6667 0.0000 -0.3333 1.0000 -0.3333 0.0000 -1089.950 -700.000 -1351.835 -1989.665 -1026.375 -1872.125 -1412.400 -1393.300 -1089.950 -700.000 -1351.835 -1989.665 -1026.375 -1872.125 -1412.400 -1393.300 -1089.950 -700.000 -2392.665 -2839.665 -3103.165 -2223.875 -2461.500 -2568.750 -1979.500 -2550.600 -2957.500 -1351.835 -1989.665 -1568.350 -1485.550 -1885.500 -1026.375 -1872.125 -1412.400 -1393.300 
25008 -0.6667 0.0000 -0.3333 1.0000 -0.3333 0.3333 -1278.450 -902.450 -1670.335 -2047.500 -1383.500 -1953.500 -1512.300 -1832.200 -1278.450 -902.450 -1670.335 -2047.500 -1383.500 -1953.500 -1512.300 -1832.200 -1278.450 -902.450 -2335.500 -2619.835 -2583.500 -2458.000 -2568.000 -2385.500 -1978.100 -2478.700 -2378.300 -1670.335 -2047.500 -1454.500 -1348.600 -1755.150 -1383.500 -1953.500 -1512.300 -1832.200 
25009 -0.6667 0.0000 -0.3333 1.0000 -0.3333 0.6667 -1090.950 -857.000 -2249.335 -1903.335 -1582.000 -1802.375 -1506.400 -1547.600 -1090.950 -857.000 -2249.335 -1903.335 -1582.000 -1802.375 -1506.400 -1547.600 -1090.950 -857.000 -2320.000 -2700.000 -2852.165 -2149.125 -2089.625 -2396.125 -1682.300 -2437.300 -2242.700 -2249.335 -1903.335 -1522.400 -1292.750 -1298.550 -1582.000 -1802.375 -1506.400 -1547.600 
