- - - - - - - experiments/1_class/10_in_clusters.argos experiments/1_class/10_in_lines.argos experiments/1_class/3_in_clusters.argos experiments/1_class/3_in_lines.argos experiments/1_class/4_in_clusters.argos experiments/1_class/4_in_lines.argos experiments/1_class/5_in_clusters.argos experiments/1_class/5_in_lines.argos experiments/2_class/10_in_clusters.argos experiments/2_class/10_in_lines.argos experiments/2_class/3_in_clusters.argos experiments/2_class/3_in_lines.argos experiments/2_class/4_in_clusters.argos experiments/2_class/4_in_lines.argos experiments/2_class/5_in_clusters.argos experiments/2_class/5_in_lines.argos experiments/4_class/10_in_clusters.argos experiments/4_class/10_in_lines.argos experiments/4_class/12_uniform_0.05_density.argos experiments/4_class/12_uniform_0.10_density.argos experiments/4_class/12_uniform_0.20_density.argos experiments/4_class/16_uniform_0.05_density.argos experiments/4_class/16_uniform_0.10_density.argos experiments/4_class/16_uniform_0.20_density.argos experiments/4_class/20_uniform_0.05_density.argos experiments/4_class/20_uniform_0.10_density.argos experiments/4_class/20_uniform_0.20_density.argos experiments/4_class/3_in_clusters.argos experiments/4_class/3_in_lines.argos experiments/4_class/40_uniform_0.05_density.argos experiments/4_class/40_uniform_0.10_density.argos experiments/4_class/40_uniform_0.20_density.argos experiments/4_class/4_in_clusters.argos experiments/4_class/4_in_lines.argos experiments/4_class/5_in_clusters.argos experiments/4_class/5_in_lines.argos
100010 0.6667 1.0000 0.3333 0.3333 -1.0000 -0.6667 -1573.900 -1134.550 -1984.665 -2562.500 -1896.875 -1858.125 -1998.500 -2122.700 -1573.900 -1134.550 -1984.665 -2562.500 -1896.875 -1858.125 -1998.500 -2122.700 -1573.900 -1134.550 -3053.500 -2769.165 -2953.500 -2280.500 -2403.125 -2148.125 -2232.000 -2477.400 -2285.000 -1984.665 -2562.500 -1489.000 -1230.000 -1541.550 -1896.875 -1858.125 -1998.500 -2122.700
100011 0.6667 1.0000 0.3333 0.3333 -1.0000 -0.3333 -1553.550 -1135.250 -2393.665 -2988.000 -2200.625 -2649.500 -2088.300 -1783.600 -1553.550 -1135.250 -2393.665 -2988.000 -2200.625 -2649.500 -2088.300 -1783.600 -1553.550 -1135.250 -3211.165 -2962.165 -3174.165 -2090.375 -2494.375 -2774.250 -2148.700 -2507.300 -1999.500 -2393.665 -2988.000 -1755.150 -1428.250 -1252.050 -2200.625 -2649.500 -2088.300 -1783.600
100012 0.6667 1.0000 0.3333 0.3333 -1.0000 0.0000 -1325.050 -1122.550 -2322.165 -2356.835 -2112.125 -2772.875 -2345.500 -2001.500 -1325.050 -1122.550 -2322.165 -2356.835 -2112.125 -2772.875 -2345.500 -2001.500 -1325.050 -1122.550 -2503.665 -2871.335 -2989.000 -2255.500 -2612.500 -3147.125 -2136.500 -1984.200 -2300.500 -2322.165 -2356.835 -1445.500 -1342.000 -1570.350 -2112.125 -2772.875 -2345.500 -2001.500
100013 0.6667 1.0000 0.3333 0.3333 -1.0000 0.3333 -1306.750 -1281.600 -2552.165 -2676.500 -2000.375 -2388.250 -2214.200 -1992.600 -1306.750 -1281.600 -2552.165 -2676.500 -2000.375 -2388.250 -2214.200 -1992.600 -1306.750 -1281.600 -1984.500 -3211.000 -2701.000 -1943.625 -2331.875 -2331.750 -2093.100 -1962.200 -1586.500 -2552.165 -2676.500 -1819.750 -1567.400 -1368.850 -2000.375 -2388.250 -2214.200 -1992.600
100014 0.6667 1.0000 0.3333 0.3333 -1.0000 0.6667 -1607.600 -1371.800 -2057.835 -2706.165 -1999.625 -1992.750 -2064.800 -2116.000 -1607.600 -1371.800 -2057.835 -2706.165 -1999.625 -1992.750 -2064.800 -2116.000 -1607.600 -1371.800 -1993.665 -2797.665 -2849.500 -2215.250 -2242.000 -2443.125 -2303.500 -2322.000 -2487.200 -2057.835 -2706.165 -1647.300 -1485.750 -1179.100 -1999.625 -1992.750 -2064.800 -2116.000
100015 0.6667 1.0000 0.3333 0.3333 -1.0000 1.0000 -1388.550 -1130.650 -2486.500 -2943.665 -1924.000 -1996.250 -2094.600 -2138.600 -1388.550 -1130.650 -2486.500 -2943.665 -1924.000 -1996.250 -2094.600 -2138.600 -1388.550 -1130.650 -2055.335 -2814.165 -2950.165 -1950.125 -2269.250 -2049.250 -2443.100 -2547.600 -2178.200 -2486.500 -2943.665 -1821.700 -1442.400 -1468.450 -1924.000 -1996.250 -2094.600 -2138.600
100016 0.6667 1.0000 0.3333 0.3333 -0.6667 -1.0000 -1505.800 -1025.250 -1200.000 -1206.165 -1811.875 -2230.500 -1558.900 -1289.800 -1505.800 -1025.250 -1200.000 -1206.165 -1811.875 -2230.500 -1558.900 -1289.800 -1505.800 -1025.250 -2380.665 -2288.665 -2922.000 -1762.500 -1617.500 -1848.750 -1842.700 -2153.300 -1391.800 -1200.000 -1206.165 -1045.150 -1340.350 -1243.450 -1811.875 -2230.500 -1558.900 -1289.800
100017 0.6667 1.0000 0.3333 0.3333 -0.6667 -0.6667 -1102.050 -910.650 -2245.500 -1893.500 -1554.000 -2130.250 -1660.300 -1451.300 -1102.050 -910.650 -2245.500 -1893.500 -1554.000 -2130.250 -1660.300 -1451.300 -1102.050 -910.650 -2569.165 -2251.665 -2192.500 -2080.250 -1988.875 -1636.250 -1531.100 -1613.300 -1597.100 -2245.500 -1893.500 -1131.050 -938.600 -1050.350 -1554.000 -2130.250 -1660.300 -1451.300
100018 0.6667 1.0000 0.3333 0.3333 -0.6667 -0.3333 -1300.150 -1154.550 -2314.500 -2956.335 -2185.250 -2589.125 -1744.300 -1951.200 -1300.150 -1154.550 -2314.500 -2956.335 -2185.250 -2589.125 -1744.300 -1951.200 -1300.150 -1154.550 -2731.165 -2908.335 -3023.165 -2686.375 -2344.375 -2393.750 -2079.100 -2472.300 -2452.600 -2314.500 -2956.335 -1492.850 -1370.650 -1337.200 -2185.250 -2589.125 -1744.300 -1951.200
100019 0.6667 1.0000 0.3333 0.3333 -0.6667 0.0000 -1588.400 -1401.750 -2431.165 -2907.165 -2237.500 -2614.375 -1679.100 -1827.700 -1588.400 -1401.750 -2431.165 -2907.165 -2237.500 -2614.375 -1679.100 -1827.700 -1588.400 -1401.750 -2679.000 -3063.000 -2880.000 -2165.125 -2128.875 -2018.625 -1781.200 -2095.100 -2053.400 -2431.165 -2907.165 -1245.450 -1246.500 -1457.100 -2237.500 -2614.375 -1679.100 -1827.700
