- - - - - - - experiments/1_class/10_in_clusters.argos experiments/1_class/10_in_lines.argos experiments/1_class/3_in_clusters.argos experiments/1_class/3_in_lines.argos experiments/1_class/4_in_clusters.argos experiments/1_class/4_in_lines.argos experiments/1_class/5_in_clusters.argos experiments/1_class/5_in_lines.argos experiments/2_class/10_in_clusters.argos experiments/2_class/10_in_lines.argos experiments/2_class/3_in_clusters.argos experiments/2_class/3_in_lines.argos experiments/2_class/4_in_clusters.argos experiments/2_class/4_in_lines.argos experiments/2_class/5_in_clusters.argos experiments/2_class/5_in_lines.argos experiments/4_class/10_in_clusters.argos experiments/4_class/10_in_lines.argos experiments/4_class/12_uniform_0.05_density.argos experiments/4_class/12_uniform_0.10_density.argos experiments/4_class/12_uniform_0.20_density.argos experiments/4_class/16_uniform_0.05_density.argos experiments/4_class/16_uniform_0.10_density.argos experiments/4_class/16_uniform_0.20_density.argos experiments/4_class/20_uniform_0.05_density.argos experiments/4_class/20_uniform_0.10_density.argos experiments/4_class/20_uniform_0.20_density.argos experiments/4_class/3_in_clusters.argos experiments/4_class/3_in_lines.argos experiments/4_class/40_uniform_0.05_density.argos experiments/4_class/40_uniform_0.10_density.argos experiments/4_class/40_uniform_0.20_density.argos experiments/4_class/4_in_clusters.argos experiments/4_class/4_in_lines.argos experiments/4_class/5_in_clusters.argos experiments/4_class/5_in_lines.argos 
49010 -0.3333 1.0000 -0.3333 1.0000 -0.6667 0.0000 -940.800 -553.000 -1291.665 -1200.000 -1204.500 -1147.500 -1383.600 -983.500 -940.800 -553.000 -1291.665 -1200.000 -1204.500 -1147.500 -1383.600 -983.500 -940.800 -553.000 -1509.835 -1600.165 -2172.000 -1559.250 -1747.875 -1897.625 -1445.400 -1577.900 -1883.500 -1291.665 -1200.000 -1119.400 -950.500 -1424.850 -1204.500 -1147.500 -1383.600 -983.500 
49011 -0.3333 1.0000 -0.3333 1.0000 -0.6667 0.3333 -883.900 -475.500 -1210.665 -1200.000 -939.125 -954.500 -1287.200 -888.700 -883.900 -475.500 -1210.665 -1200.000 -939.125 -954.500 -1287.200 -888.700 -883.900 -475.500 -1465.335 -1730.835 -1994.835 -1272.500 -1560.375 -1845.500 -1226.700 -1689.900 -1558.400 -1210.665 -1200.000 -1017.550 -955.250 -1383.200 -939.125 -954.500 -1287.200 -888.700 
49012 -0.3333 1.0000 -0.3333 1.0000 -0.6667 0.6667 -816.200 -408.450 -1200.000 -1200.000 -900.000 -900.000 -1072.000 -756.800 -816.200 -408.450 -1200.000 -1200.000 -900.000 -900.000 -1072.000 -756.800 -816.200 -408.450 -1476.335 -1717.500 -2008.000 -1177.625 -1439.125 -1872.875 -1124.300 -1513.300 -1585.400 -1200.000 -1200.000 -772.000 -868.000 -1121.050 -900.000 -900.000 -1072.000 -756.800 
49013 -0.3333 1.0000 -0.3333 1.0000 -0.6667 1.0000 -742.750 -376.850 -1200.000 -1200.000 -900.000 -900.000 -937.600 -724.400 -742.750 -376.850 -1200.000 -1200.000 -900.000 -900.000 -937.600 -724.400 -742.750 -376.850 -1395.665 -1560.165 -1921.665 -1037.125 -1467.875 -1856.875 -988.400 -1287.100 -1473.300 -1200.000 -1200.000 -603.100 -799.600 -1185.950 -900.000 -900.000 -937.600 -724.400 
49014 -0.3333 1.0000 -0.3333 1.0000 -0.3333 -1.0000 -560.650 -472.500 -1375.335 -1546.665 -1010.875 -1227.500 -1155.100 -949.400 -560.650 -472.500 -1375.335 -1546.665 -1010.875 -1227.500 -1155.100 -949.400 -560.650 -472.500 -1769.000 -1670.835 -1659.335 -1197.500 -1356.750 -1127.000 -957.600 -903.000 -986.600 -1375.335 -1546.665 -688.400 -621.950 -518.800 -1010.875 -1227.500 -1155.100 -949.400 
49015 -0.3333 1.0000 -0.3333 1.0000 -0.3333 -0.6667 -530.200 -548.500 -1215.500 -1412.835 -1055.375 -1531.750 -1065.700 -1066.800 -530.200 -548.500 -1215.500 -1412.835 -1055.375 -1531.750 -1065.700 -1066.800 -530.200 -548.500 -1575.165 -1766.665 -1576.165 -1245.625 -1248.500 -1977.375 -904.100 -870.900 -1079.500 -1215.500 -1412.835 -582.350 -470.100 -503.950 -1055.375 -1531.750 -1065.700 -1066.800 
49016 -0.3333 1.0000 -0.3333 1.0000 -0.3333 -0.3333 -724.750 -658.600 -1200.000 -1200.000 -1056.375 -1148.750 -978.300 -920.700 -724.750 -658.600 -1200.000 -1200.000 -1056.375 -1148.750 -978.300 -920.700 -724.750 -658.600 -1680.000 -1913.835 -1891.000 -1496.750 -1413.125 -1962.000 -1387.300 -1295.500 -1228.400 -1200.000 -1200.000 -816.700 -656.400 -650.200 -1056.375 -1148.750 -978.300 -920.700 
49017 -0.3333 1.0000 -0.3333 1.0000 -0.3333 0.0000 -857.700 -423.700 -1252.165 -1200.000 -942.500 -951.875 -1245.000 -804.800 -857.700 -423.700 -1252.165 -1200.000 -942.500 -951.875 -1245.000 -804.800 -857.700 -423.700 -1321.165 -1631.335 -1986.835 -1369.625 -1538.750 -1822.625 -1127.800 -1578.700 -1756.300 -1252.165 -1200.000 -980.450 -862.550 -1264.550 -942.500 -951.875 -1245.000 -804.800 
49018 -0.3333 1.0000 -0.3333 1.0000 -0.3333 0.3333 -787.150 -360.000 -1200.000 -1200.000 -900.000 -900.000 -956.500 -720.000 -787.150 -360.000 -1200.000 -1200.000 -900.000 -900.000 -956.500 -720.000 -787.150 -360.000 -1332.165 -1653.000 -1917.000 -1044.875 -1356.000 -1745.375 -981.800 -1301.400 -1538.800 -1200.000 -1200.000 -650.300 -776.200 -1166.200 -900.000 -900.000 -956.500 -720.000 
49019 -0.3333 1.0000 -0.3333 1.0000 -0.3333 0.6667 -651.100 -360.000 -1200.000 -1200.000 -900.000 -900.000 -866.200 -720.000 -651.100 -360.000 -1200.000 -1200.000 -900.000 -900.000 -866.200 -720.000 -651.100 -360.000 -1244.665 -1558.000 -1739.835 -949.750 -1289.500 -1632.625 -853.600 -1027.800 -1236.400 -1200.000 -1200.000 -441.350 -623.500 -919.750 -900.000 -900.000 -866.200 -720.000 
