vl0 vr0 vl1 vr1 vl2 vr2 cost
-1.75880263 -1.90190470 -0.26067163 5.86398174 -3.05722375 0.60061268 -653.51888889
-4.15487191 -1.19062699 4.23074695 2.07121960 -0.66736946 -0.91432093 -751.32519444
-0.66486067 3.43251141 -0.06419213 4.10472776 -1.73440598 0.56869483 -901.29288889
-1.49512468 3.72964174 2.61045818 5.16934225 -6.59935901 -3.02332824 -1220.75313889
-2.54140754 -1.62104513 0.73989132 6.11854011 -6.63339669 0.13756307 -1312.28083333
-7.42378374 -0.98190188 -0.63643905 9.24168203 -4.78761903 2.91138837 -1419.34555556
-5.44907307 -1.86088663 1.64928848 8.33047895 -5.90794855 2.72161322 -1443.42527778
-1.40740438 0.26911589 -3.47200331 5.24488947 -3.35396257 1.05408364 -1464.34763889
-2.83847951 0.73151253 -2.42914487 7.46008593 -5.36640006 0.87071118 -1572.96111111
-3.15752988 0.49545332 1.93984374 7.80223838 -7.79203604 0.35410120 -1578.38916667
